x,y,x_g,y_g,wall_top,wall_bot,wall_left,wall_right,bomb_top,bomb_bot,bomb_left,bomb_right,near_top,near_bot,near_left,near_right,action
16,15,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,16,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,17,16,2,False,True,False,False,False,False,False,False,False,False,True,False,left
16,16,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,16,16,2,False,False,False,False,True,False,True,False,False,True,True,False,down
16,16,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,16,16,2,False,False,False,True,False,False,False,False,True,False,True,False,left
16,16,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,16,16,2,False,False,False,True,False,False,False,False,True,False,True,False,left
17,15,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
16,15,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,14,16,2,False,False,False,False,False,False,False,False,False,False,True,False,up
17,14,16,2,False,False,False,False,False,True,False,False,True,False,True,False,up
16,14,16,2,False,False,False,False,False,False,False,False,False,False,True,False,up
16,15,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
15,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
16,15,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,16,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,15,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,16,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,15,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
15,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
15,14,16,2,False,False,False,False,False,False,False,True,False,True,True,False,up
14,14,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
15,14,16,2,False,False,False,False,False,False,False,True,False,True,True,False,up
15,13,16,2,False,False,True,False,False,False,False,False,False,True,True,False,up
14,13,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
15,13,16,2,False,False,True,False,False,False,False,False,False,True,True,False,up
14,13,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
14,12,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
14,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
14,12,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
14,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
14,10,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
14,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
14,12,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
15,12,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
15,11,16,2,False,True,False,True,False,False,False,False,False,True,True,False,left
15,10,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
16,10,16,2,False,False,False,True,False,True,False,False,False,False,True,False,left
16,9,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,10,16,2,False,False,False,True,False,True,False,False,False,False,True,False,left
16,9,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,8,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,8,16,2,False,False,False,False,True,False,False,False,False,False,True,False,left
17,8,16,2,False,True,False,False,False,False,False,False,True,False,True,False,left
17,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,7,16,2,True,False,False,False,False,False,False,True,False,True,True,False,left
